genes	module
Arl6ip6	6
Arl8a	1
Arl8b	2
Armc1	2
Armc10	6
Armc3	0
Armc5	1
Armc6	1
Armc7	1
Armc8	5
Armc9	5
Armcx2	1
Armcx3	0
Armcx5	0
Armcx6	1
Armt1	0
Arnt	0
Arntl	9
Arpc1a	0
Arpc1b	1
Arpc2	6
Arpc3	0
Arpc4	4
Arpc5	6
Arpc5l	2
Arpp19	2
Arrb1	1
Arrb2	1
Arrdc1	3
Arrdc2	1
Arrdc3	2
Arrdc4	5
Arsa	4
Arsb	2
Arsg	4
Arsk	2
Arv1	0
Arvcf	1
As3mt	1
Asah1	6
Asah2	5
Asap1	1
Asap3	1
Asb1	2
Asb10	1
Asb13	0
Asb2	4
Asb3	6
Asb6	1
Asb7	2
Asb8	6
Ascc1	0
Ascc2	1
Ascc3	5
Ascl2	1
Asf1a	2
Asf1b	0
Ash1l	5
Ash2l	4
Asl	1
Asna1	1
Asns	4
Asnsd1	5
Asph	6
Aspscr1	1
Asrgl1	0
Aste1	0
Asun	5
Asxl1	1
Asxl2	5
Atad1	2
Atad2	2
Atad2b	5
Atad3a	1
Atad5	0
Atat1	3
Ate1	2
Atf1	2
Atf2	2
Atf3	1
Atf4	3
Atf6	8
Atf6b	1
Atf7	5
Atf7ip	3
Atg10	2
Atg101	6
Atg12	2
Atg13	0
Atg14	4
Atg16l1	3
Atg16l2	3
Atg2a	1
Atg2b	5
Atg3	3
Atg4a	2
Atg4b	4
Atg4c	2
Atg4d	9
Atg5	2
Atg7	4
Atg9a	4
Pgghg	0
Atic	0
Atl1	0
Atl2	2
Atl3	2
Atm	5
Atmin	6
Atn1	1
Atox1	7
Atp10d	5
Atp11a	2
Atp11b	2
Atp11c	2
Atp13a1	1
Atp13a2	1
Atp13a3	2
Atp1a1	4
Atp1a3	8
Atp1b3	6
Atp2a2	6
Atp2a3	6
Atp2b1	2
Atp2b2	3
Atp2c1	2
Atp5a1	4
Atp5b	6
Atp5c1	2
Atp5d	4
Atp5e	7
Atp5f1	2
Atp5g1	7
Atp5g3	7
Atp5h	7
Atp5j	7
Atp5j2	7
Atp5k	7
Atp5o	6
Atp5s	0
Atp5sl	3
Atp6ap1	6
Atp6ap2	2
Atp6v0a1	4
Atp6v0a2	6
Atp6v0b	4
Atp6v0d1	4
Atp6v0e	7
Atp6v1a	6
Atp6v1b2	6
Atp6v1c1	0
Atp6v1d	0
Atp6v1e1	1
Atp6v1f	7
Atp6v1g1	6
Atp6v1g2	1
Atp6v1h	6
Atp7a	2
Atp8a1	2
Atp8a2	1
Atp8b1	0
Atp8b2	5
Atp9b	1
Atpaf1	0
Atpaf2	3
Atpif1	7
Atr	5
Atraid	6
Atrip	1
Atrn	0
Atrx	5
Atxn1	3
Atxn10	4
Atxn1l	0
Atxn2	1
Atxn2l	3
Atxn3	2
Atxn7	5
Atxn7l1	3
Atxn7l2	1
Atxn7l3	1
Atxn7l3b	7
Auh	3
Aup1	4
Aurka	1
Aurkaip1	4
Aurkb	0
Aven	0
Avl9	2
Avpi1	8
Axin1	3
Axl	8
Azi2	5
Azin1	2
B130006D01Rik	5
B230118H07Rik	2
B230219D22Rik	2
B230307C23Rik	5
B230354K17Rik	2
B2m	8
B3galnt1	6
B3galnt2	9
B3galt4	4
B3galt5	8
B3galt6	4
B3gat3	1
B3glct	0
B3gnt2	6
B3gnt7	8
B3gnt8	4
B3gntl1	3
B430010I23Rik	5
B430306N03Rik	8
B4galnt1	4
B4galt1	2
B4galt3	0
B4galt4	3
B4galt5	8
B4galt6	2
B4galt7	4
B4gat1	4
Bmt2	2
Fndc10	4
B930059L03Rik	5
B9d2	1
BC002163	0
BC003331	3
BC003965	5
BC004004	4
BC005537	3
BC005561	5
BC005624	1
BC017158	1
BC017643	0
BC020402	5
BC022687	0
BC023829	2
BC024978	5
BC026585	4
BC027231	0
BC028528	2
BC029214	3
BC029722	1
BC030336	0
BC031181	2
BC035044	5
BC037032	5
BC037034	3
BC037704	0
BC048403	4
BC049352	7
BC052040	0
BC055324	2
BC068281	5
BC147527	0
Babam1	4
Bace1	3
Bach1	3
Bach2	3
Bach2os	5
Bad	1
Bag1	0
Bag2	5
Bag3	0
Bag4	2
Bag5	6
Bag6	1
Bahcc1	3
Bahd1	1
Baiap2	1
Baiap2l1	2
Bak1	1
Bambi	6
Banf1	7
Bank1	1
Banp	0
Bap1	1
Basp1	1
Batf	0
Batf2	4
Bax	3
Baz1a	9
Baz1b	3
Baz2a	3
Baz2b	3
Bbc3	1
Bbip1	2
Bbs1	0
Bbs10	0
Bbs12	3
Bbs2	3
Bbs4	1
Bbs5	0
Bbs7	0
Bbs9	3
Bbx	3
Bcap29	6
Bcap31	6
Bcas2	2
Bcas3	4
Bcat1	0
Bcat2	1
Bccip	2
Bcdin3d	0
Bckdha	1
Bckdhb	0
Bckdk	0
Bcl10	2
Bcl2	2
Bcl2a1a	2
Bcl2a1b	2
Bcl2a1c	7
Bcl2a1d	2
Bcl2l1	1
Bcl2l11	0
Bcl2l12	4
Bcl2l13	2
Bcl3	4
Bcl6	1
Bcl7a	1
Bcl7b	4
Bcl7c	1
Bcl9	0
Bcl9l	1
Bclaf1	5
Bco2	3
Bcor	1
Bcorl1	0
Bcr	1
Bcs1l	0
Bdp1	5
Becn1	3
Bend3	1
Bend5	3
Bend6	1
Best1	0
Bet1	2
Bet1l	6
Bfar	5
Bhlhb9	0
Bhlhe41	5
Bicd2	1
Bid	1
Bik	3
Bin1	1
Bin2	1
Bin3	1
Birc2	9
Birc3	9
Birc6	5
Bivm	2
Blcap	6
Blm	1
Blmh	6
Blnk	1
Bloc1s1	7
Bloc1s2	5
Bloc1s3	4
Bloc1s4	7
Bloc1s5	4
