genes	module
Atp5s	1
Atp5sl	3
Atp6ap1	6
Atp6ap2	1
Atp6v0a1	4
Atp6v0a2	1
Atp6v0b	7
Atp6v0d1	3
Atp6v0e	9
Atp6v1a	6
Atp6v1b2	6
Atp6v1c1	9
Atp6v1d	0
Atp6v1e1	3
Atp6v1f	7
Atp6v1g1	1
Atp6v1g2	0
Atp6v1h	6
Atp7a	1
Atp8a1	1
Atp8a2	4
Atp8b1	2
Atp8b2	0
Atp9b	4
Atpaf1	8
Atpaf2	4
Atpif1	7
Atr	1
Atraid	9
Atrip	4
Atrn	0
Atrx	2
Atxn1	2
Atxn10	6
Atxn1l	0
Atxn2	4
Atxn2l	2
Atxn3	1
Atxn7	2
Atxn7l1	2
Atxn7l2	3
Atxn7l3	2
Atxn7l3b	1
Auh	2
Aup1	3
Aurka	5
Aurkaip1	7
Aven	3
Avl9	1
Avpi1	6
Axin1	3
Axl	9
Azi2	8
Azin1	1
B130006D01Rik	2
B230118H07Rik	7
B230219D22Rik	1
B230307C23Rik	7
B230354K17Rik	8
B2m	7
B330016D10Rik	2
B3galnt1	1
B3galnt2	0
B3galt4	0
B3galt5	6
B3galt6	0
B3gat3	3
B3glct	0
B3gnt2	1
B3gnt7	5
B3gnt8	5
B3gntl1	2
B430010I23Rik	8
B430306N03Rik	5
B4galnt1	5
B4galt1	1
B4galt3	2
B4galt4	0
B4galt5	0
B4galt6	1
B4galt7	5
B4gat1	4
Bmt2	1
Fndc10	4
B930059L03Rik	2
B9d2	3
BC002163	0
BC003331	2
BC003965	2
BC004004	5
BC005537	2
BC005561	8
BC005624	3
BC017158	3
BC017643	5
BC020402	1
BC022687	0
BC023829	6
BC024978	2
BC026585	9
BC027231	0
BC028528	7
BC029214	2
BC029722	4
BC030336	0
BC031181	1
BC035044	8
BC037032	2
BC037034	2
BC037704	0
BC048403	0
BC049352	7
BC052040	0
BC055324	1
BC068281	8
BC147527	0
Babam1	3
Bace1	2
Bach1	2
Bach2	2
Bach2os	2
Bad	3
Bag1	5
Bag2	0
Bag3	3
Bag4	1
Bag5	0
Bag6	4
Bahd1	0
Baiap2	4
Baiap2l1	1
Bak1	3
Bambi	6
Banf1	5
Bank1	2
Banp	3
Bap1	3
Basp1	3
Batf	0
Batf2	3
Bax	2
Baz1a	8
Baz1b	2
Baz2a	2
Baz2b	2
Bbc3	3
Bbip1	1
Bbs1	4
Bbs10	8
Bbs12	0
Bbs2	0
Bbs4	2
Bbs5	0
Bbs7	6
Bbs9	2
Bbx	2
Bcap29	1
Bcap31	9
Bcas2	7
Bcas3	3
Bcat1	0
Bcat2	3
Bccip	6
Bcdin3d	3
Bckdha	3
Bckdhb	0
Bckdk	5
Bcl10	1
Bcl2	0
Bcl2a1a	6
Bcl2a1b	7
Bcl2a1c	7
Bcl2a1d	7
Bcl2l1	0
Bcl2l11	0
Bcl2l12	3
Bcl2l13	6
Bcl3	5
Bcl6	0
Bcl6b	0
Bcl7a	2
Bcl7b	3
Bcl7c	3
Bcl9	0
Bcl9l	2
Bclaf1	2
Bco2	2
Bcor	4
Bcorl1	2
Bcr	2
Bcs1l	0
Bdp1	2
Becn1	0
Bend3	3
Bend5	2
Bend6	0
Best1	3
Bet1	1
Bet1l	1
Bfar	2
Bhlhb9	1
Bhlhe41	1
Bicd2	4
Bid	2
Bik	2
Bin1	3
Bin2	3
Bin3	3
Birc2	8
Birc3	1
Birc6	8
Bivm	1
Blcap	1
Blm	0
