genes	module
Atat1	1
Ate1	1
Atf1	3
Atf2	1
Atf3	0
Atf4	4
Atf6	1
Atf6b	2
Atf7	1
Atf7ip	1
Atg10	0
Atg101	5
Atg12	0
Atg13	0
Atg14	7
Atg16l1	4
Atg16l2	2
Atg2a	6
Atg2b	1
Atg3	5
Atg4a	3
Atg4b	2
Atg4c	3
Atg4d	0
Atg5	3
Atg7	0
Atg9a	0
Pgghg	0
Atic	0
Atl1	0
Atl2	0
Atl3	1
Atm	1
Atmin	3
Atn1	6
Atox1	5
Atp10d	4
Atp11a	1
Atp11b	1
Atp11c	1
Atp13a1	0
Atp13a2	6
Atp13a3	1
Atp1a1	2
Atp1a3	7
Atp1b3	3
Atp2a2	3
Atp2a3	7
Atp2b1	0
Atp2b2	1
Atp2c1	3
Atp5a1	7
Atp5b	5
Atp5c1	5
Atp5d	2
Atp5e	5
Atp5f1	5
Atp5g1	5
Atp5g3	5
Atp5h	5
Atp5j	5
Atp5j2	5
Atp5k	5
Atp5o	5
Atp5s	0
Atp5sl	2
Atp6ap1	7
Atp6ap2	3
Atp6v0a1	0
Atp6v0a2	8
Atp6v0b	5
Atp6v0d1	7
Atp6v0e	5
Atp6v1a	3
Atp6v1b2	3
Atp6v1c1	0
Atp6v1d	5
Atp6v1e1	2
Atp6v1f	5
Atp6v1g1	3
Atp6v1g2	0
Atp6v1h	3
Atp7a	1
Atp8a1	1
Atp8a2	0
Atp8b1	0
Atp8b2	1
Atp9a	0
Atp9b	0
Atpaf1	0
Atpaf2	2
Atpif1	5
Atr	1
Atraid	3
Atrip	0
Atrn	1
Atrx	1
Atxn1	1
Atxn10	7
Atxn1l	0
Atxn2	6
Atxn2l	4
Atxn3	0
Atxn7	1
Atxn7l1	4
Atxn7l2	6
Atxn7l3	4
Atxn7l3b	3
Auh	5
Aup1	2
Aurka	0
Aurkaip1	5
Aven	0
Avl9	1
Avpi1	7
Axin1	4
Axl	8
Azi2	1
Azin1	1
B130006D01Rik	1
B230118H07Rik	5
B230219D22Rik	1
B230307C23Rik	1
B230354K17Rik	1
B2m	9
B3galnt1	2
B3galnt2	0
B3galt4	0
B3galt5	8
B3galt6	7
B3gat3	2
B3glct	0
B3gnt2	3
B3gnt7	7
B3gnt8	7
B3gntl1	4
B430010I23Rik	1
B430306N03Rik	7
B4galnt1	2
B4galt1	3
B4galt3	5
B4galt4	0
B4galt5	0
B4galt6	1
B4galt7	2
B4gat1	2
Bmt2	3
Fndc10	0
B9d2	2
BC002163	0
BC003331	4
BC003965	0
BC004004	5
BC005537	4
BC005561	1
BC005624	0
BC017158	2
BC017643	5
BC020402	1
BC022687	0
BC023829	3
BC024978	1
BC026585	8
BC027231	0
BC028528	5
BC029214	4
BC029722	0
BC030336	1
BC031181	5
BC035044	1
BC037032	1
BC037034	4
BC037704	1
BC048403	0
BC049352	0
BC052040	0
BC055324	3
BC068281	1
BC147527	8
Babam1	2
Bace1	4
Bach1	1
Bach2	1
Bach2os	4
Bad	2
Bag1	5
Bag2	0
Bag3	2
Bag4	3
Bag5	5
Bag6	0
Bahcc1	4
Bahd1	0
Baiap2	0
Baiap2l1	1
Bak1	0
Bambi	0
Banf1	5
Bank1	0
Banp	2
Bap1	4
Basp1	0
Batf	0
